Date,Open,High,Low,Close,Adj Close,Volume
2018-12-11,17.440001,17.490000,17.190001,17.400000,16.944397,3081600
2018-12-12,17.469999,17.850000,17.150000,17.299999,16.847015,4463900
2018-12-13,17.309999,17.450001,17.030001,17.370001,16.915186,3571300
2018-12-14,17.240000,17.510000,17.209999,17.350000,16.895706,3954500
2018-12-17,17.350000,17.459999,16.920000,16.920000,16.476965,3665500
2018-12-18,17.000000,17.090000,16.809999,16.830000,16.389326,4302800
2018-12-19,16.870001,17.580000,16.870001,17.100000,16.652252,3976000
2018-12-20,17.100000,17.379999,17.020000,17.250000,16.798323,3130700
2018-12-21,17.370001,17.490000,17.139999,17.340000,16.885967,3459800
2018-12-26,17.090000,17.320000,16.900000,17.000000,16.604097,1515400
2018-12-27,17.100000,17.450001,16.959999,17.129999,16.731071,3110200
2018-12-28,17.180000,17.860001,17.110001,17.540001,17.131525,3590500
2019-01-02,17.620001,18.180000,17.500000,17.980000,17.561279,2375600
2019-01-03,18.000000,18.389999,17.700001,18.389999,17.961729,4158200
2019-01-04,18.400000,18.680000,18.000000,18.600000,18.166838,4170100
2019-01-07,18.750000,18.760000,18.200001,18.309999,17.883595,2930100
2019-01-08,18.370001,18.430000,18.040001,18.160000,17.737083,3153400
2019-01-09,18.160000,18.469999,18.100000,18.360001,17.932428,3666700
2019-01-10,18.370001,18.590000,18.250000,18.500000,18.069164,3695300
2019-01-11,18.510000,18.770000,18.410000,18.690001,18.254744,9478800
2019-01-14,18.590000,19.000000,18.540001,18.900000,18.459852,3647400
2019-01-15,18.990000,19.049999,18.370001,18.530001,18.098467,3035800
2019-01-16,18.580000,18.980000,18.480000,18.920000,18.479385,2213500
2019-01-17,18.950001,19.000000,18.709999,18.799999,18.362181,2338900
2019-01-18,18.920000,19.100000,18.700001,18.700001,18.264507,2331800
2019-01-21,18.690001,18.889999,18.459999,18.820000,18.381718,1258500
2019-01-22,18.820000,18.930000,18.510000,18.559999,18.127771,2432200
2019-01-23,18.700001,18.850000,18.379999,18.770000,18.332882,2669500
2019-01-24,18.770000,18.990000,18.600000,18.820000,18.381718,2302800
2019-01-28,18.900000,19.230000,18.750000,19.120001,18.674728,4222600
2019-01-29,19.180000,19.549999,19.129999,19.209999,18.762630,3556800
2019-01-30,19.379999,19.500000,19.030001,19.420000,18.967745,3527200
2019-01-31,19.500000,19.620001,18.840000,18.840000,18.401251,3721400
2019-02-01,18.860001,19.629999,18.860001,19.629999,19.172850,4278100
2019-02-04,19.590000,19.940001,19.379999,19.700001,19.241222,3332700
2019-02-05,19.700001,20.049999,19.570000,20.049999,19.583067,2963100
2019-02-06,19.790001,19.950001,19.299999,19.340000,18.889605,3250800
2019-02-07,19.450001,19.639999,19.120001,19.170000,18.723560,2837300
2019-02-08,19.150000,19.670000,18.639999,19.000000,18.557524,5257300
2019-02-11,18.969999,19.110001,18.480000,18.889999,18.450085,3298900
2019-02-12,19.230000,19.230000,18.639999,18.870001,18.430550,3335100
2019-02-13,19.080000,19.080000,18.549999,18.660000,18.225445,4215800
2019-02-14,18.660000,18.930000,18.379999,18.840000,18.401251,2479200
2019-02-15,18.719999,18.990000,18.660000,18.900000,18.459852,2320900
2019-02-18,18.900000,19.170000,18.750000,19.080000,18.635660,1892500
2019-02-19,19.150000,19.459999,19.150000,19.389999,18.938438,2387200
2019-02-20,19.350000,19.570000,18.730000,18.790001,18.352415,3589800
2019-02-21,18.930000,18.930000,18.629999,18.879999,18.440317,2138500
2019-02-22,18.969999,19.049999,18.709999,19.049999,18.606358,2324500
2019-02-25,18.900000,18.969999,18.440001,18.459999,18.108906,2982900
2019-02-26,18.490000,18.670000,18.129999,18.330000,17.981379,3474000
2019-02-27,18.400000,18.760000,18.170000,18.580000,18.226624,2231600
2019-02-28,18.670000,18.740000,18.350000,18.420000,18.069668,3872700
2019-03-01,18.559999,18.700001,18.340000,18.340000,17.991192,2325300
2019-03-06,null,null,null,null,null,null
2019-03-07,18.530001,18.750000,18.450001,18.520000,18.167768,2134100
2019-03-08,18.549999,18.850000,18.450001,18.799999,18.442442,1965800
2019-03-11,18.860001,19.080000,18.790001,18.980000,18.619017,1606900
2019-03-12,19.010000,19.139999,18.910000,19.010000,18.648447,2647400
2019-03-13,18.980000,19.440001,18.910000,19.180000,18.815216,2498100
2019-03-14,19.270000,19.299999,18.940001,19.090000,18.726927,1858300
2019-03-15,19.049999,19.260000,19.000000,19.260000,18.893694,2558700
2019-03-18,19.000000,19.320000,18.930000,19.090000,18.726927,3261800
2019-03-19,19.170000,19.260000,19.030001,19.090000,18.726927,1756300
2019-03-20,19.030001,19.170000,18.620001,18.760000,18.403204,2959100
2019-03-21,18.799999,18.910000,18.400000,18.559999,18.207008,3199300
2019-03-22,18.400000,18.549999,18.100000,18.219999,17.873474,3659500
2019-03-25,18.170000,18.330000,17.920000,18.059999,17.761759,1866200
2019-03-26,18.299999,18.340000,17.830000,18.020000,17.722420,2067800
2019-03-27,17.920000,18.059999,17.430000,17.450001,17.161835,3543600
2019-03-28,17.400000,18.250000,17.379999,18.049999,17.751925,2702600
2019-03-29,18.219999,18.320000,17.910000,18.000000,17.702749,2190900
2019-04-01,18.200001,18.270000,17.940001,18.070000,17.771595,1356900
2019-04-02,18.180000,18.459999,18.160000,18.250000,17.948620,2523100
2019-04-03,18.440001,18.760000,18.400000,18.469999,18.164988,2807200
2019-04-04,18.559999,18.990000,18.459999,18.809999,18.499374,2187000
2019-04-05,19.030001,19.180000,18.879999,19.070000,18.755081,2617000
2019-04-08,19.070000,19.070000,18.639999,18.750000,18.440365,2528800
2019-04-09,18.740000,18.760000,18.420000,18.510000,18.204325,2391800
2019-04-10,18.650000,18.650000,18.250000,18.330000,18.027302,2510100
